bam_file,sample,year,latitude,longitude,winter_pheno,state,source,museum,batch
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/AMNH-123030_realigned_sorted.bam,AMNH-123030,NA,37.33,-107.94,NA,Colorado,AMNH,TRUE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-1179_realigned_sorted.bam,DMNS-1179,NA,40.86,-102.8,NA,Colorado,DMNS,TRUE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-16612_realigned_sorted.bam,DMNS-16612,NA,39.86,-104.67,NA,Colorado,DMNS,TRUE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-1679_realigned_sorted.bam,DMNS-1679,NA,39.37,-104.86,NA,Colorado,DMNS,TRUE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-1704_realigned_sorted.bam,DMNS-1704,NA,37.83,-105.97,NA,Colorado,DMNS,TRUE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-1705_realigned_sorted.bam,DMNS-1705,NA,37.83,-105.97,NA,Colorado,DMNS,TRUE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-1774_realigned_sorted.bam,DMNS-1774,NA,37.83,-105.97,NA,Colorado,DMNS,TRUE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-1775_realigned_sorted.bam,DMNS-1775,NA,37.83,-105.97,NA,Colorado,DMNS,TRUE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-1776_realigned_sorted.bam,DMNS-1776,NA,37.83,-105.97,NA,Colorado,DMNS,TRUE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-18790_realigned_sorted.bam,DMNS-18790,NA,38.23,-106.76,NA,Colorado,Field,FALSE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-18791_realigned_sorted.bam,DMNS-18791,NA,38.22,-106.78,NA,Colorado,Field,FALSE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-18792_realigned_sorted.bam,DMNS-18792,NA,38.19,-106.7,NA,Colorado,Field,FALSE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-18793_realigned_sorted.bam,DMNS-18793,NA,38.03,-106.21,NA,Colorado,Field,FALSE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-18794_realigned_sorted.bam,DMNS-18794,NA,38.5,-106.85,NA,Colorado,Field,FALSE,mafalda
/home/tt164677e/tim_beegfs/wtjr_genomics/processed_reads_prev_seq/realigned/DMNS-18795_realigned_sorted.bam,DMNS-18795,NA,38.5,-106.85,NA,Colorado,Field,FALSE,mafalda
